Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
3500.0,2008-10-19,New Car,536.0,10.01%,104xx,NY,1 year,0.0
5000.0,2009-02-09,Better Car Loan,702.0,9.94%,731xx,OK,< 1 year,0.0
20000.0,2008-01-19,debt_consolidation,683.0,29.6%,184xx,PA,6 years,0.0
5600.0,2008-12-17,PURCHASE OF SHED,692.0,14.95%,930xx,CA,10+ years,0.0
7100.0,2008-01-14,atlanta77,544.0,13.32%,300xx,GA,6 years,0.0
1500.0,2007-10-17,cnewsome24,0.0,3%,010xx,MA,< 1 year,0.0
10000.0,2008-01-28,Lyndee,614.0,0%,853xx,AZ,9 years,0.0
7500.0,2007-09-26,rmbp,514.0,8.04%,100xx,NY,1 year,0.0
5000.0,2007-11-09,Dizzale,524.0,24.48%,260xx,WV,< 1 year,0.0
7000.0,2007-12-03,bigman,509.0,11.44%,917xx,GA,10+ years,0.0
10000.0,2008-12-26,debtcolidate,575.0,15.54%,240xx,VA,< 1 year,0.0
10000.0,2008-12-28,Consolidation,554.0,14480%,975xx,OR,< 1 year,0.0
1000.0,2008-07-28,Moving Money to Help Mom,452.0,3.2%,759xx,TX,6 years,0.0
14000.0,2008-02-20,kclara8,423.0,13.72%,906xx,CA,< 1 year,0.0
12000.0,2008-12-14,Refinance & Consolidate Credit Card Debt,651.0,19.88%,550xx,MN,5 years,0.0
15000.0,2009-04-03,Downpayment Help,723.0,35.7%,537xx,WI,1 year,0.0
6000.0,2008-02-22,debt_consolidation,631.0,0.02%,197xx,DE,8 years,0.0
20000.0,2008-01-14,klw,581.0,46.41%,405xx,KY,10+ years,0.0
15000.0,2008-04-07,S/T BUS. CAPITAL & FINAN. REPOSITIONING ,640.0,41.27%,190xx,PA,10+ years,0.0
5200.0,2009-04-18,Student loan,462.0,0%,302xx,GA,< 1 year,0.0
15000.0,2008-11-01,Small Business Loan,661.0,46.78%,295xx,SC,4 years,0.0
7500.0,2008-08-27,Need extra money to go to college,492.0,10.75%,467xx,IN,< 1 year,0.0
25000.0,2009-03-28,New Business in Organic Vending ,543.0,19.75%,018xx,MA,2 years,0.0
25000.0,2008-04-07,Working Capital for Successful Business,776.0,6.32%,300xx,GA,1 year,0.0
17000.0,2009-03-23, ,717.0,37.73%,945xx,CA,< 1 year,0.0
5000.0,2008-01-04,PITBULL42,438.0,37.52%,326xx,FL,3 years,0.0
1000.0,2008-06-16,Appliances and Credit Building,546.0,1.15%,727xx,AR,1 year,0.0
3800.0,2007-12-18,other,668.0,42.33%,130xx,NY,< 1 year,0.0
5000.0,2007-10-15,butterflywonder,491.0,9.46%,800xx,CO,3 years,0.0
15000.0,2009-05-05,consolidation loan,625.0,13.3%,062xx,CT,< 1 year,0.0
10000.0,2008-11-26,Ref of current personal loan at lower ra,735.0,25.6%,064xx,CT,3 years,0.0
1300.0,2009-04-15,School Loan,489.0,0%,440xx,OH,1 year,0.0
500.0,2007-10-05,grnick,704.0,0%,551xx,MN,10+ years,0.0
15000.0,2008-03-27,Buying a Business,669.0,20.78%,480xx,MI,2 years,0.0
25000.0,2009-04-11,Portabello's Restaurant Survival after 7,639.0,0.23%,133xx,NY,7 years,0.0
24900.0,2008-12-08,Pay down higher rate credit cards,655.0,7.16%,970xx,OR,3 years,0.0
15000.0,2008-01-15,terrones,474.0,8.4%,934xx,CA,1 year,0.0
8000.0,2009-05-06,debt,555.0,25.71%,444xx,OH,< 1 year,0.0
10000.0,2009-01-12,Personal Training,771.0,1.44%,913xx,CA,2 years,0.0
2000.0,2008-03-23,paying off debt to work part-time ,474.0,531%,802xx,CO,< 1 year,0.0
25000.0,2009-03-14,REHABBING 3 UNIT,727.0,11.37%,604xx,IL,6 years,0.0
2500.0,2007-10-16,purplesue,491.0,8.1%,741xx,OK,2 years,0.0
5000.0,2007-10-24,kunle1970,633.0,26.31%,853xx,AZ,< 1 year,0.0
10000.0,2009-03-20,IVF,758.0,28.23%,057xx,VT,< 1 year,0.0
8000.0,2008-12-09,I need to consolidate some credit cards,662.0,3.8%,100xx,NY,4 years,0.0
3000.0,2008-04-05,Loan,533.0,47.52%,323xx,FL,< 1 year,0.0
1900.0,2009-04-05,motorcycle,534.0,0%,925xx,CA,10+ years,0.0
10000.0,2008-03-12,Become Debt Free,477.0,16.38%,190xx,PA,7 years,0.0
5000.0,2008-02-25,Loan needed due to medical emergency--need time for personal loan from parents to kick in,624.0,13.3%,921xx,CA,6 years,0.0
11200.0,2008-02-13,Wedding advance,699.0,11.48%,981xx,WA,< 1 year,0.0
1000.0,2009-04-24,Brack,415.0,3.94%,787xx,TX,10+ years,0.0
25000.0,2008-01-24,john380sl,630.0,34.91%,347xx,FL,10+ years,0.0
6000.0,2008-06-21,Luis ,674.0,0.75%,193xx,PA,4 years,0.0
12000.0,2009-04-01,Consolidation of debt,636.0,33.52%,452xx,OH,5 years,0.0
8500.0,2007-12-09,soontobemarried,512.0,8.36%,913xx,CA,< 1 year,0.0
1000.0,2008-12-03,Trying To Make It,422.0,185.33%,381xx,AR,2 years,0.0
17000.0,2008-01-28,crweeks76,552.0,0%,386xx,ID,< 1 year,0.0
5000.0,2009-03-03,Home add on,714.0,298.08%,740xx,OK,7 years,0.0
12500.0,2009-01-15,Credit card payoff,614.0,13.97%,011xx,MA,1 year,0.0
20000.0,2009-01-30,Working Capital For Established Business,585.0,13.16%,346xx,FL,< 1 year,0.0
2500.0,2009-05-14,An Indexing Business (back of book),623.0,30.59%,708xx,LA,5 years,0.0
6500.0,2008-03-22,Debt Consolidation Loan,494.0,0%,720xx,AR,2 years,0.0
2500.0,2008-05-29,Wedding Reception,653.0,18.92%,144xx,NY,3 years,0.0
15000.0,2008-01-14,Esther2008,562.0,0%,296xx,SC,4 years,0.0
2500.0,2008-04-06,Financial Recovery After Injury,637.0,16.95%,761xx,TX,< 1 year,0.0
7500.0,2009-01-05,Educational Supplement Loan,665.0,3.81%,200xx,DC,1 year,0.0
4000.0,2008-12-04,payoff,476.0,16.99%,799xx,TX,1 year,0.0
9000.0,2009-03-17,Consolidate debt,635.0,28.24%,750xx,TX,4 years,0.0
3000.0,2007-12-30,debt_consolidation,646.0,11.31%,405xx,KY,6 years,0.0
9000.0,2008-02-22,lauren51381,757.0,23.36%,245xx,VA,< 1 year,0.0
9000.0,2009-05-06,Motorcycle refinancing,730.0,97.04%,334xx,FL,2 years,0.0
20000.0,2008-03-23,Refinance car and consolidate debt,617.0,27.07%,091xx,NY,5 years,0.0
17500.0,2009-03-26, ,727.0,8.18%,117xx,NY,7 years,0.0
15000.0,2009-02-25,clear loans,615.0,14.56%,291xx,SC,5 years,0.0
18500.0,2009-03-29, ,593.0,10.11%,028xx,RI,7 years,0.0
1500.0,2008-04-12,Debt Consolidation,0.0,0%,320xx,FL,10+ years,0.0
1400.0,2008-11-26,seperation and economy foces 2nd move,0.0,0%,982xx,WA,10+ years,0.0
7500.0,2009-04-17, ,690.0,25.13%,178xx,PA,9 years,0.0
4500.0,2009-02-10,Getting right with my Credit,530.0,11.83%,390xx,MS,1 year,0.0
21600.0,2008-01-02,debt_consolidation,670.0,35.81%,600xx,IL,3 years,0.0
10000.0,2008-02-21,MicchelleTheBride2008,483.0,29.5%,123xx,NY,< 1 year,0.0
1500.0,2008-08-15,Wedding of our dreams,567.0,17.4%,028xx,RI,1 year,0.0
2000.0,2008-07-21,Payoff,572.0,1.76%,754xx,TX,2 years,0.0
17000.0,2009-04-29,Collegiate,0.0,0%,424xx,KY,1 year,0.0
2500.0,2008-02-21,sssjrcowboys,509.0,0%,178xx,PA,< 1 year,0.0
8975.0,2007-12-29,glebxx,705.0,14.83%,112xx,NY,< 1 year,0.0
5000.0,2008-10-07,NC State Grauduate School Expenses,652.0,40.3%,276xx,NC,1 year,0.0
10000.0,2009-02-20,Steve's Vending Service,630.0,0.5%,300xx,GA,10+ years,0.0
10000.0,2009-01-05,to buy my first home,585.0,1.36%,458xx,OH,6 years,0.0
4800.0,2007-11-29,repositionmyself,657.0,8.15%,224xx,VA,10+ years,0.0
4000.0,2009-01-29, ,661.0,25.7%,809xx,CO,1 year,0.0
5000.0,2009-01-05,IN DIRE NEED OF SUPPORT!,0.0,0%,945xx,CA,2 years,0.0
12000.0,2008-12-20,Get back my life!,569.0,32.8%,300xx,GA,2 years,0.0
7500.0,2008-06-04,Consolidate Some Dept,692.0,75.9%,951xx,CA,10+ years,0.0
3000.0,2008-08-12,Need to pay off high interests loans,579.0,13.26%,972xx,OR,2 years,0.0
25000.0,2008-11-24,Funding For New Wave College,643.0,26.4%,907xx,CA,7 years,0.0
25000.0,2009-05-09,Swimming Pool for Teacher and Her Family,708.0,18.11%,296xx,SC,10+ years,0.0
5000.0,2008-01-13,jhannar,632.0,17.31%,490xx,MI,2 years,0.0
9500.0,2008-04-02,Looking for a Loan,679.0,15.13%,338xx,FL,< 1 year,0.0
5000.0,2008-01-14,wayneworld,611.0,19.93%,750xx,TX,2 years,0.0
20000.0,2008-10-25,Loan for new Tool Truck,726.0,0.51%,936xx,CA,10+ years,0.0
13500.0,2007-11-03,donenzo,655.0,15.78%,112xx,NY,< 1 year,0.0
1000.0,2009-02-15,Car Loan,429.0,15.95%,750xx,TX,< 1 year,0.0
3000.0,2008-08-26,Help Me to Consolidate My Unsecured Deb,412.0,7.91%,073xx,NJ,5 years,0.0
5000.0,2009-04-11,Get Back on Track,666.0,30.78%,305xx,GA,3 years,0.0
25000.0,2008-11-05,Home Loan,605.0,5.74%,451xx,OH,4 years,0.0
25000.0,2008-01-16,"I would like to pay off high interest loans,and have one easy payment.",729.0,60.98%,487xx,MI,4 years,0.0
4000.0,2008-10-16,Krista's ,624.0,0%,081xx,NJ,< 1 year,0.0
15000.0,2008-12-24,Direct Marketing: localVIEW Marketing ,670.0,8.28%,945xx,CA,< 1 year,0.0
5000.0,2009-03-03,Help my disabled sister pay 4 utilities,546.0,0%,840xx,UT,3 years,0.0
1500.0,2008-12-16,car problems,545.0,0%,951xx,CA,1 year,0.0
9000.0,2009-01-08,Save my home......,693.0,37.27%,874xx,NM,5 years,0.0
20000.0,2008-02-07,boff,671.0,40.23%,606xx,IL,1 year,0.0
3000.0,2008-03-28,get out of credit cards,522.0,27.15%,757xx,TX,4 years,0.0
3500.0,2008-11-18,Rodney Smith,565.0,0%,452xx,OH,< 1 year,0.0
6000.0,2009-01-26,Student Loan,684.0,42%,315xx,GA,< 1 year,0.0
3000.0,2008-08-25,Need a small fast loan,459.0,46.62%,346xx,FL,1 year,0.0
1000.0,2008-01-10,MsShawna,450.0,6.69%,992xx,WA,< 1 year,0.0
15000.0,2008-01-21,Granduer,502.0,25.3%,937xx,CA,10+ years,0.0
1500.0,2009-04-19,Preparing for the future,526.0,1.75%,104xx,NY,< 1 year,0.0
4500.0,2008-08-01,Business Growth,657.0,421.13%,274xx,NC,< 1 year,0.0
5000.0,2008-10-16,Debt consolidation,726.0,27.2%,601xx,IL,1 year,0.0
3000.0,2007-12-06,other,695.0,0%,100xx,NY,3 years,0.0
10000.0,2008-04-05,get out of debt,465.0,44.09%,288xx,NC,1 year,0.0
1000.0,2009-01-23,rent catch up,510.0,0%,606xx,IL,1 year,0.0
2000.0,2009-03-25,Car financing.,428.0,0%,339xx,FL,2 years,0.0
7500.0,2009-05-15,Stump Grinder,705.0,35.93%,490xx,MI,5 years,0.0
25000.0,2009-04-27,Taking care of family,584.0,29.73%,490xx,MI,8 years,0.0
10000.0,2008-11-14,Secure Homestead,652.0,24.48%,344xx,FL,1 year,0.0
2500.0,2008-06-09,New Business ,418.0,35.49%,221xx,VA,< 1 year,0.0
7000.0,2009-05-06, ,666.0,26.79%,210xx,MD,1 year,0.0
2500.0,2008-08-19,roof repair,0.0,0%,330xx,FL,3 years,0.0
500.0,2008-01-20,jackson7535,508.0,35.79%,708xx,LA,3 years,0.0
5000.0,2008-07-01,Leverage,436.0,298.08%,846xx,UT,1 year,0.0
7000.0,2008-06-20,Fund freelance business,603.0,13.66%,100xx,NY,1 year,0.0
2400.0,2007-11-28,Personal loan,647.0,6.27%,081xx,NJ,10+ years,0.0
25000.0,2009-04-20,Helping Families Receive Health Care,760.0,0.62%,900xx,CA,2 years,0.0
9000.0,2007-12-02,major_purchase,667.0,23.23%,652xx,MO,10+ years,0.0
25000.0,2008-12-05,Get my debt together and paid off,658.0,28.77%,456xx,OH,10+ years,0.0
1500.0,2009-05-05,engagement ring/ trip,688.0,0.51%,852xx,AZ,< 1 year,0.0
4000.0,2007-09-27,I want to buy a used car from a dealer with cash to avoid high monthly payments and interest. i rather pay off a loan than what i would have to pay for a fiananced vehicle.,699.0,0%,857xx,AZ,< 1 year,0.0
15000.0,2009-04-16,Education Expenses,707.0,4%,315xx,GA,3 years,0.0
2500.0,2009-04-21,School loan,483.0,0%,871xx,NM,2 years,0.0
5000.0,2008-02-28,Quiltingreb,506.0,36.71%,327xx,FL,3 years,0.0
10000.0,2008-11-23,Student Loan,551.0,50.56%,633xx,MO,1 year,0.0
5000.0,2008-05-13,Engagement Ring,735.0,7.87%,329xx,FL,8 years,0.0
10000.0,2009-01-04,Debt,607.0,10.04%,773xx,TX,10+ years,0.0
6500.0,2008-03-10,CapitalOne,720.0,30.6%,956xx,CA,2 years,0.0
5000.0,2008-03-21,payoff payday loans,691.0,70.98%,168xx,PA,8 years,0.0
2500.0,2008-12-17,Roof Repair,673.0,9.26%,713xx,LA,4 years,0.0
1000.0,2008-06-08,Needing money to move to North Carolina,519.0,5.09%,359xx,AL,1 year,0.0
17000.0,2008-02-20,other,629.0,1.17%,078xx,NJ,2 years,0.0
1000.0,2008-06-04,Bank consolidation,506.0,0%,923xx,CA,1 year,0.0
4500.0,2008-03-18,Credit card consolidation loan,549.0,9.14%,120xx,NY,2 years,0.0
7500.0,2008-08-29,Help Need A Second Chance,529.0,18.64%,324xx,FL,1 year,0.0
10000.0,2009-04-06,Machine Purchase,636.0,14.52%,750xx,TX,9 years,0.0
2000.0,2009-02-21,Consolidating Debt,620.0,24.64%,605xx,IL,< 1 year,0.0
3500.0,2008-02-02,Heather_K_Litz,604.0,4.78%,750xx,TX,< 1 year,0.0
1000.0,2008-12-02,getting rid of debit,477.0,6.97%,789xx,TX,1 year,0.0
20000.0,2009-02-20,Credit line / Inventory loan,717.0,10.24%,995xx,AK,2 years,0.0
23000.0,2008-03-02,jam428,466.0,11.99%,920xx,CA,2 years,0.0
20000.0,2009-02-12,Help us educate our kids!!,683.0,10.26%,852xx,AZ,2 years,0.0
3200.0,2009-05-16,MBA Grad with 4.0 GPA Job Search,610.0,25.99%,554xx,MN,< 1 year,0.0
1500.0,2008-10-22,Unexpected Medical Expenses,620.0,19.9%,329xx,FL,5 years,0.0
25000.0,2009-04-26,"venice,italy",758.0,16.74%,117xx,NY,4 years,0.0
15000.0,2008-02-27,queenbeetm,543.0,46.57%,342xx,FL,10+ years,0.0
3000.0,2008-07-08, ,669.0,47.64%,362xx,AL,3 years,0.0
1000.0,2009-01-07,UHURU PUBLISHING LAUNCHES,588.0,4.83%,537xx,WI,< 1 year,0.0
4500.0,2008-04-07,Kelcey Leverett,450.0,1.08%,956xx,CA,1 year,0.0
12000.0,2009-04-03, ,647.0,10.88%,933xx,CA,5 years,0.0
2500.0,2009-04-27,PAY OFF BILLS ,0.0,0%,716xx,AR,5 years,0.0
4000.0,2008-03-13,Reques Money to build new business,0.0,0%,336xx,FL,10+ years,0.0
1500.0,2008-11-20,Emergency Money,532.0,19.16%,322xx,FL,< 1 year,0.0
2000.0,2009-04-04,SOS-please help us,553.0,35.03%,810xx,CO,1 year,0.0
5000.0,2008-12-22,Community Business Loan,508.0,0%,775xx,TX,1 year,0.0
15000.0,2009-04-11,debt releaf,597.0,26.03%,807xx,CO,< 1 year,0.0
20000.0,2008-11-12, ,642.0,37.84%,117xx,NY,2 years,0.0
15000.0,2008-03-26,debt_consolidation,639.0,11.57%,780xx,TX,< 1 year,0.0
10000.0,2009-04-14, ,669.0,14.42%,641xx,MO,3 years,0.0
1500.0,2008-07-30,I need HELP!,0.0,0%,949xx,CA,1 year,0.0
16400.0,2009-04-27, ,802.0,0.61%,029xx,RI,5 years,0.0
3000.0,2009-03-02,personal,491.0,12.13%,330xx,FL,8 years,0.0
15000.0,2009-02-14,Don't want to pay 30% Interest Anymore!,631.0,6.85%,115xx,NY,5 years,0.0
1000.0,2008-08-14,Help Paying Off Payday Loans,616.0,43.14%,441xx,OH,5 years,0.0
1500.0,2007-12-02,debt_consolidation,685.0,35%,284xx,NC,4 years,0.0
7000.0,2008-10-15, ,671.0,36.77%,660xx,KS,10+ years,0.0
25000.0,2007-09-19,"I am a retired engineer, working on a high efficiency engine to solve global warming.  My budget is too tight to allow work on project due to old credit card balances.  Loan will be used to pay off credit cards, freeing up extra income to work on the engine.  I have 40 acres of land near Logan, Utah.  It didn't sell so decided to use it for a loan.  I would like to pay $300 per month at 7.5% interest.",630.0,24.11%,840xx,UT,< 1 year,0.0
5000.0,2007-12-13,BradenJ,454.0,6.16%,489xx,MI,2 years,0.0
15000.0,2007-12-26,debt_consolidation,682.0,18.38%,908xx,CA,2 years,0.0
4000.0,2008-06-13,Help with debt,469.0,13.85%,271xx,NC,1 year,0.0
3500.0,2009-04-30,last hope,539.0,22.55%,334xx,FL,5 years,0.0
2000.0,2007-12-13,difogo,480.0,22.93%,021xx,MA,6 years,0.0
15000.0,2008-02-23,other,777.0,0.23%,085xx,NJ,6 years,0.0
5000.0,2009-03-29, ,652.0,21.35%,853xx,AZ,3 years,0.0
7500.0,2008-06-26,home,506.0,12.59%,910xx,CA,10+ years,0.0
5000.0,2009-01-24,Paying off rent early,626.0,19.2%,210xx,MD,2 years,0.0
2500.0,2008-07-05,short term possibly 2 years?,530.0,19.18%,609xx,IL,9 years,0.0
15000.0,2008-02-07,Arty3,626.0,27.52%,946xx,CA,3 years,0.0
15000.0,2008-12-29,Reduce CC debt,570.0,3.02%,349xx,FL,10+ years,0.0
10000.0,2009-02-09,ConsolidateDebt-Using401k,577.0,16.72%,601xx,IL,5 years,0.0
10000.0,2008-03-24,credit card consolidation,719.0,31.71%,505xx,IA,< 1 year,0.0
8000.0,2008-12-18,Credit Card Refinance and Elimination,660.0,46.78%,802xx,CO,10+ years,0.0
6000.0,2008-11-19,Paying Bills,539.0,111.25%,113xx,NY,2 years,0.0
15000.0,2008-12-19,Business Machine Repair,681.0,76.08%,970xx,OR,5 years,0.0
2000.0,2008-09-28,Car Loan,512.0,0%,171xx,PA,< 1 year,0.0
8000.0,2007-12-17,debt_consolidation,706.0,32.4%,794xx,TX,8 years,0.0
6000.0,2009-03-16,Debt Consolidation Loan,611.0,7.78%,553xx,MN,3 years,0.0
20000.0,2009-03-05,Six Figure Earner Needs To Consolidate,641.0,17.05%,320xx,FL,6 years,0.0
25000.0,2008-04-07,Inventory for retail store/ecommerse,529.0,0%,482xx,MI,10+ years,0.0
15000.0,2008-12-19,Initial Business Loan,781.0,25.13%,600xx,IL,7 years,0.0
1000.0,2008-05-19,"Please Help, Thanks I appreciate it",660.0,11.76%,570xx,SD,< 1 year,0.0
2500.0,2008-11-18,new beginning,542.0,21.43%,300xx,GA,< 1 year,0.0
10000.0,2009-01-07,Help,462.0,13.53%,349xx,FL,6 years,0.0
12000.0,2007-12-12,MacMcguirk,653.0,41.8%,226xx,VA,2 years,0.0
7000.0,2008-09-04,Investing in Education,673.0,2.96%,958xx,CA,2 years,0.0
12450.0,2007-12-01,"WHY I NEED A LOAN 	Sixteen years ago I started a business that was on its way the first 12 months to netting $120,000- pretax profit. 	Then, suddenly, I had a nervous breakdown. Couldn't work. No motivation. Exhausted my savings. Had to go on early, discounted Social Security. 	Thanks largely to my anti-depressant, I chucked all symptoms except one: no matter how early nor late I went to bed, I couldn't get up in the morning for work. If I tried even walking downstairs for the paper before my brain said ""OK,"" I'd get sick to my stomach, unable to do anything productive the rest of the day. 	I got wind of a hospital's sleep lab. ""You have 'restless leg syndrome,' advised the doctor. ""I'd like to start you on this new medicine.""  	A few weeks ago I realized that no matter what time I had been going to bed, so long as my brain was comfortable with the notion...and I had had 8 to 9 hours in bed the night before, I could safely get up for the day. Nor, most times, would I feel the least drowsy until bedtime. 	From a previous 14 to 15 total bed hours nightly  I had needed for several previous years, I now needed but 8 or 9. 	My doctor and I both figure that, if I was ""running a Marathon nightly in my sleep, eventually I'd run out of energy. And stop thrashing. And sleep motionless. Until rested. No wonder I needed 6-7 extra hours in bed.""  MY FINANCIAL SITUATION 	Voila! I could now re-start my profession. Except..........the paradox...the irony of it all...was...now that I'm fit and ready to roll, I don't have the money I need to jump-start my former business.                 I'm confident I'll net at least $100,000- first 12 months. 	While I was a New York City-based actor, I taught as a hired gun for Communispond, the world's first, and by far premier trainers of top, multi-national, corporate executives in stand-up presentation and media skills. 3,000 +  CEOs, EVPs and other officers, supervisors and ""comers"" with such well-known, respected companies as IBM, GM, ATT, PepsiCo, 3M, etc. 	A typical post-program participant comment was, ""Wow! I should have taken this 20 years ago!""                 I quit in order to create a more versatile, measurable program. I researched, developed, tested before audiences the most versatile, most effective, simplest to use stand-up presentation skills program on the world market. 	It serves any speaker, under any circumstances, speaking to any size audience on any topic on which the speaker is expert. And.....measure results against intention.....anonymously. 	I give a full, money-back guarantee. My graduates (1) don't memorize a thing, (2) don't use notes, (3) they neither write nor read long-winded, boring, speeches! 	I got six huge photo-features in major NYC suburban daily papers, plus, a piece in an Albuquerque, New Mexico daily. 	I wrote and published PRESENTER.  Got glowing testimonials from the top human resources officers of Fortune 500 companies and Dr. Norman Vincent Peale.  SPECIAL BONUS OFFER 	If I achieve my loan request, I will give you, absolutely FREE, one autographed copy of PRESENTER *  for each one-thousand DOLLARS OF YOUR LOAN. For example, if you take $3,000- of the loan, I'll give you 3 copies of my book; one-thousand, one copy. Eight hundred fifty dollars? sorry, no FREE, autographed book.   *       Praised by top, multi-national corporate human resource VPs, EVPs such as Gannett Corp., ConAgra, Gibson Greetings, 3M...and the late Norman Vincent Peale.          Please allow 6-8 weeks for delivery of new and revised, second edition, PRESENTER, printing.  ",552.0,7.56%,124xx,NY,10+ years,0.0
7000.0,2009-03-07,Mortgage Assistance,449.0,21.45%,935xx,CA,1 year,0.0
20000.0,2009-03-05,Boat loan,562.0,8100%,021xx,MA,10+ years,0.0
4000.0,2009-04-23,Education,550.0,1.2%,799xx,TX,< 1 year,0.0
2000.0,2008-11-12,Helpmeoutbygivingmechancetobuildmycredit,674.0,0%,286xx,NY,10+ years,0.0
1600.0,2008-08-15,Future school teacher - Indiana Univ. ,442.0,44.31%,466xx,IN,2 years,0.0
10200.0,2008-10-21, ,655.0,11.25%,148xx,NY,2 years,0.0
2500.0,2009-01-06,personnal loan,617.0,18.12%,945xx,CA,1 year,0.0
15000.0,2009-03-11, ,647.0,11.3%,215xx,MD,< 1 year,0.0
2000.0,2008-05-07,Just Refinancing a credit card ,664.0,0.3%,550xx,MN,2 years,0.0
10000.0,2008-10-19, ,695.0,36.64%,066xx,CT,1 year,0.0
2000.0,2008-09-12,Personal Loan ,434.0,18.61%,962xx,NY,5 years,0.0
1000.0,2007-09-12,gr8dancer_05,389.0,3.45%,668xx,KS,< 1 year,0.0
500.0,2008-03-17,Need Help Moving,522.0,10.2%,285xx,NC,< 1 year,0.0
15000.0,2009-03-10, ,710.0,26.48%,980xx,WA,10+ years,0.0
4000.0,2009-01-29, ,701.0,49.83%,551xx,MN,10+ years,0.0
4000.0,2008-04-11,home improvement and car,706.0,19.29%,481xx,MI,1 year,0.0
7500.0,2008-03-12,Marketing capital for web entrepreneur,534.0,22.71%,142xx,NY,1 year,0.0
5500.0,2009-03-28,Send me a blessing!!,506.0,34.39%,750xx,TX,< 1 year,0.0
25000.0,2008-10-28,Living out Life Purpose ,659.0,26.56%,900xx,CA,< 1 year,0.0
25000.0,2009-04-27,sallie mae consolidation,541.0,34.8%,775xx,TX,< 1 year,0.0
5000.0,2008-06-17, ,684.0,35.7%,232xx,VA,10+ years,0.0
3200.0,2007-11-21,Stevefriend,532.0,6.72%,917xx,CO,9 years,0.0
10000.0,2008-12-19,Startup Needs Funds - Bridge Investments,628.0,106.26%,902xx,CA,< 1 year,0.0
6000.0,2008-12-28,Refinance,534.0,3.2%,980xx,WA,5 years,0.0
8275.0,2007-10-08,tnc19,691.0,1.84%,272xx,NC,6 years,0.0
5500.0,2009-05-18,Purchasing a condo close to school,614.0,19.78%,920xx,CA,2 years,0.0
4000.0,2008-10-16,moving  back to florida,529.0,23.95%,454xx,OH,10+ years,0.0
6500.0,2008-03-01,drkangelslove,450.0,3.19%,327xx,FL,2 years,0.0
6000.0,2008-12-10,Personal loan,712.0,29.28%,300xx,GA,< 1 year,0.0
20000.0,2009-04-01,Porkchops,654.0,2.09%,331xx,FL,< 1 year,0.0
10000.0,2009-02-21,Xi Loan,651.0,9.02%,917xx,CA,3 years,0.0
2500.0,2008-04-24,pay off,470.0,59.17%,805xx,CO,< 1 year,0.0
