loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,pub_rec
4800.0, 36 months,11.99,C,8 years,MORTGAGE,62000.0,Fully Paid,other,7.31,0.0,675.0,679.0,0.0,0.0
5000.0, 36 months,9.17,B,2 years,RENT,85000.0,Fully Paid,credit_card,14.07,0.0,685.0,689.0,2.0,0.0
11600.0, 60 months,13.67,C,2 years,MORTGAGE,44000.0,Fully Paid,debt_consolidation,7.75,0.0,685.0,689.0,0.0,0.0
33000.0, 36 months,12.59,C,10+ years,MORTGAGE,88500.0,Charged Off,debt_consolidation,29.63,0.0,685.0,689.0,0.0,0.0
2100.0, 36 months,15.41,D,4 years,RENT,35000.0,Fully Paid,debt_consolidation,12.86,0.0,665.0,669.0,1.0,0.0
4800.0, 36 months,17.86,D,10+ years,MORTGAGE,35000.0,Charged Off,debt_consolidation,9.84,0.0,670.0,674.0,0.0,0.0
10000.0, 36 months,11.99,C,2 years,RENT,30000.0,Fully Paid,debt_consolidation,6.72,3.0,660.0,664.0,2.0,0.0
11350.0, 60 months,16.55,D,10+ years,MORTGAGE,68000.0,Fully Paid,debt_consolidation,36.75,0.0,735.0,739.0,0.0,0.0
9000.0, 36 months,15.41,D,9 years,MORTGAGE,29760.0,Fully Paid,other,28.99,0.0,665.0,669.0,1.0,0.0
12000.0, 36 months,9.17,B,2 years,MORTGAGE,85000.0,Fully Paid,major_purchase,18.99,1.0,690.0,694.0,3.0,0.0
35000.0, 60 months,11.99,C,2 years,MORTGAGE,77500.0,Fully Paid,debt_consolidation,30.07,0.0,755.0,759.0,1.0,0.0
10000.0, 36 months,10.78,B,8 years,RENT,45000.0,Fully Paid,credit_card,20.37,0.0,665.0,669.0,2.0,0.0
15000.0, 60 months,10.99,B,10+ years,MORTGAGE,135000.0,Fully Paid,major_purchase,7.09,0.0,730.0,734.0,0.0,0.0
30000.0, 60 months,20.5,E,5 years,MORTGAGE,227698.0,Charged Off,major_purchase,11.3,1.0,690.0,694.0,0.0,0.0
6650.0, 36 months,14.48,C,3 years,RENT,75000.0,Charged Off,debt_consolidation,9.2,0.0,665.0,669.0,1.0,0.0
18000.0, 60 months,17.57,D,8 years,OWN,122000.0,Fully Paid,debt_consolidation,14.13,0.0,675.0,679.0,0.0,0.0
15000.0, 60 months,18.99,E,10+ years,OWN,72000.0,Charged Off,vacation,16.17,0.0,695.0,699.0,0.0,1.0
16000.0, 36 months,11.48,B,8 years,RENT,185000.0,Fully Paid,debt_consolidation,15.29,2.0,670.0,674.0,0.0,0.0
7700.0, 36 months,10.64,B,< 1 year,RENT,65000.0,Fully Paid,debt_consolidation,5.74,0.0,670.0,674.0,0.0,0.0
30000.0, 36 months,9.99,B,10+ years,MORTGAGE,98000.0,Fully Paid,debt_consolidation,10.41,0.0,730.0,734.0,1.0,1.0
6000.0, 36 months,8.38,B,1 year,MORTGAGE,50000.0,Fully Paid,debt_consolidation,16.03,0.0,715.0,719.0,0.0,0.0
7000.0, 36 months,10.64,B,3 years,MORTGAGE,42000.0,Fully Paid,credit_card,19.94,0.0,705.0,709.0,0.0,0.0
23100.0, 60 months,17.57,D,10+ years,RENT,57800.0,Charged Off,debt_consolidation,19.1,1.0,660.0,664.0,1.0,0.0
15000.0, 60 months,15.41,D,< 1 year,MORTGAGE,42000.0,Fully Paid,debt_consolidation,24.77,0.0,665.0,669.0,0.0,0.0
13600.0, 60 months,25.09,F,3 years,RENT,40000.0,Charged Off,debt_consolidation,28.35,0.0,675.0,679.0,0.0,0.0
8000.0, 36 months,8.49,B,3 years,MORTGAGE,48000.0,Fully Paid,credit_card,15.15,0.0,670.0,674.0,4.0,0.0
17000.0, 60 months,12.05,C,3 years,MORTGAGE,51500.0,Charged Off,debt_consolidation,12.26,0.0,695.0,699.0,2.0,0.0
8000.0, 36 months,11.99,C,< 1 year,MORTGAGE,72000.0,Fully Paid,debt_consolidation,31.85,0.0,700.0,704.0,3.0,0.0
3200.0, 36 months,10.64,B,,RENT,71274.36,Fully Paid,vacation,31.45,0.0,695.0,699.0,1.0,0.0
28000.0, 60 months,7.89,A,2 years,RENT,260000.0,Fully Paid,credit_card,9.13,0.0,700.0,704.0,0.0,0.0
1000.0, 36 months,12.59,C,2 years,RENT,5360.0,Charged Off,other,15.92,0.0,680.0,684.0,0.0,0.0
5000.0, 36 months,9.17,B,2 years,RENT,80000.0,Charged Off,major_purchase,17.0,1.0,665.0,669.0,0.0,0.0
19200.0, 60 months,13.67,C,2 years,MORTGAGE,85000.0,Charged Off,credit_card,11.46,0.0,680.0,684.0,1.0,0.0
15000.0, 36 months,10.64,B,10+ years,RENT,52000.0,Fully Paid,debt_consolidation,19.69,0.0,660.0,664.0,1.0,1.0
19200.0, 36 months,5.32,A,< 1 year,MORTGAGE,65000.0,Fully Paid,credit_card,21.25,0.0,690.0,694.0,0.0,1.0
20000.0, 36 months,5.32,A,10+ years,MORTGAGE,100000.0,Fully Paid,debt_consolidation,4.04,0.0,810.0,814.0,0.0,0.0
12000.0, 36 months,7.26,A,< 1 year,RENT,90400.0,Fully Paid,debt_consolidation,13.39,0.0,735.0,739.0,1.0,0.0
11450.0, 36 months,16.55,D,2 years,RENT,55000.0,Fully Paid,other,25.53,0.0,690.0,694.0,0.0,0.0
35000.0, 36 months,8.38,B,10+ years,MORTGAGE,700000.0,Fully Paid,credit_card,5.1,0.0,710.0,714.0,0.0,10.0
28000.0, 60 months,10.64,B,10+ years,MORTGAGE,130000.0,Fully Paid,debt_consolidation,18.29,0.0,745.0,749.0,0.0,0.0
8000.0, 36 months,9.99,B,6 years,RENT,36000.0,Fully Paid,credit_card,23.9,1.0,680.0,684.0,0.0,0.0
17550.0, 36 months,13.67,C,10+ years,MORTGAGE,50000.0,Fully Paid,credit_card,37.95,0.0,675.0,679.0,0.0,1.0
24000.0, 60 months,17.57,D,10+ years,RENT,72000.0,Charged Off,debt_consolidation,22.62,0.0,690.0,694.0,0.0,1.0
19625.0, 36 months,18.49,D,5 years,MORTGAGE,79500.0,Fully Paid,debt_consolidation,18.9,2.0,675.0,679.0,0.0,0.0
23000.0, 36 months,14.48,C,10+ years,RENT,57000.0,Fully Paid,car,32.69,1.0,690.0,694.0,0.0,0.0
14400.0, 36 months,7.49,A,10+ years,MORTGAGE,78000.0,Fully Paid,credit_card,28.8,0.0,695.0,699.0,1.0,0.0
4675.0, 36 months,24.99,F,1 year,MORTGAGE,42000.0,Charged Off,debt_consolidation,22.13,0.0,675.0,679.0,1.0,0.0
7000.0, 36 months,11.22,B,10+ years,OWN,65000.0,Fully Paid,credit_card,34.51,1.0,665.0,669.0,0.0,0.0
11800.0, 36 months,9.17,B,5 years,RENT,120600.0,Fully Paid,debt_consolidation,25.47,0.0,720.0,724.0,0.0,0.0
10000.0, 36 months,5.32,A,10+ years,MORTGAGE,85000.0,Fully Paid,debt_consolidation,16.87,0.0,715.0,719.0,1.0,0.0
1000.0, 36 months,12.59,C,2 years,RENT,30600.0,Fully Paid,other,17.76,0.0,665.0,669.0,0.0,0.0
1500.0, 36 months,7.26,A,3 years,MORTGAGE,89000.0,Fully Paid,credit_card,27.07,0.0,680.0,684.0,0.0,1.0
14075.0, 36 months,11.99,C,10+ years,RENT,32000.0,Fully Paid,debt_consolidation,22.51,2.0,665.0,669.0,0.0,0.0
30000.0, 36 months,17.86,D,10+ years,MORTGAGE,94000.0,Fully Paid,debt_consolidation,10.72,1.0,660.0,664.0,1.0,0.0
10000.0, 60 months,13.67,C,2 years,RENT,76000.0,Charged Off,credit_card,20.16,0.0,740.0,744.0,0.0,0.0
15000.0, 36 months,5.32,A,7 years,MORTGAGE,66000.0,Fully Paid,credit_card,16.98,0.0,755.0,759.0,0.0,0.0
10000.0, 36 months,9.17,B,10+ years,MORTGAGE,62044.0,Fully Paid,credit_card,15.38,0.0,720.0,724.0,0.0,0.0
9800.0, 36 months,5.32,A,10+ years,RENT,68000.0,Fully Paid,credit_card,4.08,0.0,725.0,729.0,0.0,0.0
8000.0, 36 months,9.99,B,< 1 year,RENT,50000.0,Fully Paid,credit_card,16.75,0.0,665.0,669.0,5.0,0.0
5000.0, 36 months,18.99,E,10+ years,OWN,50000.0,Charged Off,moving,21.89,0.0,695.0,699.0,0.0,0.0
2000.0, 36 months,10.78,B,10+ years,RENT,66000.0,Fully Paid,vacation,8.55,0.0,675.0,679.0,0.0,1.0
6000.0, 36 months,13.18,C,< 1 year,MORTGAGE,58000.0,Fully Paid,debt_consolidation,20.26,0.0,670.0,674.0,1.0,1.0
4200.0, 36 months,7.26,A,10+ years,OWN,96000.0,Fully Paid,home_improvement,17.1,0.0,715.0,719.0,1.0,0.0
16275.0, 36 months,18.99,E,10+ years,MORTGAGE,76000.0,Charged Off,debt_consolidation,11.53,5.0,695.0,699.0,2.0,0.0
16800.0, 60 months,22.45,F,,MORTGAGE,50000.0,Fully Paid,debt_consolidation,20.51,0.0,680.0,684.0,1.0,0.0
8000.0, 36 months,17.86,D,10+ years,RENT,44000.0,Fully Paid,credit_card,29.72,0.0,680.0,684.0,1.0,0.0
9500.0, 36 months,6.24,A,10+ years,OWN,63000.0,Fully Paid,debt_consolidation,27.41,0.0,765.0,769.0,0.0,0.0
12000.0, 36 months,7.89,A,6 years,RENT,42000.0,Fully Paid,debt_consolidation,15.14,0.0,740.0,744.0,0.0,0.0
8000.0, 36 months,9.17,B,10+ years,RENT,40000.0,Fully Paid,debt_consolidation,20.76,0.0,695.0,699.0,1.0,0.0
10000.0, 60 months,16.99,D,,MORTGAGE,26000.0,Charged Off,credit_card,32.78,0.0,660.0,664.0,2.0,1.0
25000.0, 36 months,8.38,B,1 year,RENT,65400.0,Fully Paid,debt_consolidation,33.82,0.0,735.0,739.0,1.0,0.0
5700.0, 36 months,11.99,C,4 years,RENT,26000.0,Charged Off,credit_card,23.73,0.0,685.0,689.0,1.0,0.0
18000.0, 60 months,15.41,D,10+ years,MORTGAGE,82000.0,Charged Off,debt_consolidation,14.21,0.0,695.0,699.0,0.0,0.0
5000.0, 36 months,11.49,B,1 year,RENT,55000.0,Fully Paid,home_improvement,24.37,0.0,665.0,669.0,0.0,0.0
10000.0, 36 months,6.89,A,3 years,RENT,45000.0,Fully Paid,debt_consolidation,17.68,0.0,695.0,699.0,0.0,0.0
1500.0, 36 months,7.26,A,10+ years,RENT,51000.0,Fully Paid,debt_consolidation,25.22,0.0,735.0,739.0,0.0,0.0
9000.0, 36 months,6.89,A,10+ years,RENT,35000.0,Fully Paid,credit_card,10.6,0.0,715.0,719.0,0.0,0.0
5000.0, 36 months,11.22,B,5 years,RENT,34000.0,Charged Off,debt_consolidation,25.06,1.0,665.0,669.0,0.0,0.0
35000.0, 60 months,15.41,D,1 year,MORTGAGE,155000.0,Fully Paid,debt_consolidation,10.89,0.0,725.0,729.0,1.0,0.0
25000.0, 36 months,7.26,A,10+ years,MORTGAGE,135000.0,Fully Paid,debt_consolidation,24.23,0.0,720.0,724.0,0.0,0.0
20000.0, 36 months,9.17,B,10+ years,RENT,84000.0,Fully Paid,debt_consolidation,7.56,0.0,670.0,674.0,0.0,1.0
10000.0, 36 months,11.99,C,10+ years,RENT,70000.0,Fully Paid,debt_consolidation,11.4,0.0,675.0,679.0,0.0,0.0
15000.0, 60 months,11.99,C,1 year,RENT,55000.0,Fully Paid,credit_card,15.08,0.0,700.0,704.0,0.0,0.0
10000.0, 36 months,17.57,D,3 years,MORTGAGE,35000.0,Fully Paid,credit_card,15.02,0.0,665.0,669.0,3.0,0.0
12900.0, 36 months,17.97,D,8 years,RENT,38000.0,Fully Paid,small_business,29.85,0.0,660.0,664.0,0.0,0.0
4000.0, 36 months,9.76,B,5 years,MORTGAGE,71000.0,Fully Paid,credit_card,27.16,0.0,705.0,709.0,2.0,0.0
12000.0, 36 months,5.32,A,8 years,OWN,40000.0,Fully Paid,credit_card,13.68,0.0,740.0,744.0,0.0,0.0
7225.0, 36 months,18.49,E,3 years,MORTGAGE,26665.0,Charged Off,credit_card,31.55,1.0,670.0,674.0,1.0,1.0
25900.0, 36 months,13.18,C,5 years,MORTGAGE,81000.0,Charged Off,other,20.3,0.0,660.0,664.0,2.0,1.0
10000.0, 36 months,15.41,D,2 years,RENT,44000.0,Fully Paid,moving,17.49,1.0,675.0,679.0,0.0,0.0
10000.0, 36 months,9.17,B,5 years,MORTGAGE,77000.0,Fully Paid,debt_consolidation,9.77,0.0,665.0,669.0,1.0,1.0
10000.0, 36 months,12.59,C,4 years,OWN,20000.0,Charged Off,credit_card,6.84,0.0,680.0,684.0,3.0,0.0
11800.0, 36 months,14.33,C,10+ years,RENT,115000.0,Fully Paid,debt_consolidation,7.27,0.0,665.0,669.0,0.0,0.0
15000.0, 60 months,18.99,E,5 years,MORTGAGE,56000.0,Fully Paid,major_purchase,13.29,1.0,665.0,669.0,0.0,0.0
5000.0, 36 months,5.32,A,10+ years,OWN,70000.0,Fully Paid,credit_card,6.62,0.0,815.0,819.0,1.0,0.0
21600.0, 60 months,17.27,D,3 years,MORTGAGE,85000.0,Charged Off,debt_consolidation,17.63,1.0,665.0,669.0,0.0,1.0
7500.0, 36 months,11.22,B,3 years,MORTGAGE,62000.0,Fully Paid,debt_consolidation,13.18,0.0,665.0,669.0,0.0,0.0
29950.0, 36 months,17.27,D,10+ years,RENT,71088.0,Fully Paid,debt_consolidation,20.39,0.0,710.0,714.0,0.0,0.0
20000.0, 60 months,11.99,C,9 years,OWN,55000.0,Fully Paid,debt_consolidation,28.89,0.0,730.0,734.0,0.0,0.0
9000.0, 36 months,5.32,A,7 years,RENT,35000.0,Fully Paid,credit_card,17.44,0.0,760.0,764.0,0.0,0.0
10000.0, 60 months,16.99,D,1 year,RENT,49700.0,Fully Paid,credit_card,15.36,0.0,660.0,664.0,1.0,1.0
11000.0, 60 months,10.64,B,1 year,MORTGAGE,57000.0,Fully Paid,credit_card,33.88,0.0,705.0,709.0,0.0,0.0
12600.0, 36 months,8.38,B,2 years,MORTGAGE,42400.0,Fully Paid,debt_consolidation,21.43,0.0,690.0,694.0,2.0,0.0
25000.0, 36 months,12.59,C,5 years,RENT,70000.0,Fully Paid,other,18.43,0.0,710.0,714.0,1.0,0.0
10000.0, 60 months,13.67,C,< 1 year,MORTGAGE,45000.0,Fully Paid,debt_consolidation,8.13,0.0,665.0,669.0,0.0,0.0
6800.0, 36 months,9.76,B,4 years,MORTGAGE,55000.0,Fully Paid,debt_consolidation,8.16,0.0,675.0,679.0,0.0,0.0
10000.0, 36 months,7.89,A,9 years,MORTGAGE,250000.0,Fully Paid,debt_consolidation,11.3,0.0,695.0,699.0,1.0,0.0
15000.0, 60 months,18.49,E,3 years,RENT,33600.0,Charged Off,credit_card,19.32,0.0,715.0,719.0,0.0,1.0
5025.0, 36 months,20.99,E,4 years,RENT,118000.0,Fully Paid,debt_consolidation,13.9,7.0,660.0,664.0,4.0,2.0
2400.0, 36 months,17.27,D,2 years,MORTGAGE,52000.0,Fully Paid,home_improvement,28.38,1.0,670.0,674.0,1.0,1.0
14400.0, 36 months,12.59,C,7 years,RENT,120000.0,Fully Paid,moving,7.59,0.0,685.0,689.0,0.0,2.0
5650.0, 36 months,6.24,A,,MORTGAGE,40632.0,Fully Paid,credit_card,30.15,0.0,785.0,789.0,0.0,0.0
9000.0, 36 months,9.99,B,4 years,RENT,70000.0,Fully Paid,debt_consolidation,18.36,1.0,675.0,679.0,0.0,0.0
4800.0, 36 months,8.38,B,10+ years,OWN,40000.0,Fully Paid,credit_card,21.31,0.0,665.0,669.0,0.0,1.0
5475.0, 36 months,18.49,D,10+ years,RENT,21000.0,Fully Paid,debt_consolidation,29.71,0.0,680.0,684.0,3.0,0.0
1000.0, 36 months,7.89,A,3 years,MORTGAGE,52000.0,Fully Paid,major_purchase,12.2,0.0,685.0,689.0,0.0,0.0
35000.0, 36 months,18.2,E,9 years,RENT,89000.0,Fully Paid,credit_card,25.42,0.0,665.0,669.0,1.0,0.0
5000.0, 36 months,7.89,A,6 years,OWN,80000.0,Fully Paid,credit_card,15.21,0.0,730.0,734.0,1.0,0.0
9600.0, 36 months,17.57,D,1 year,RENT,27000.0,Charged Off,debt_consolidation,31.29,1.0,660.0,664.0,0.0,0.0
35000.0, 60 months,11.99,C,8 years,MORTGAGE,95000.0,Fully Paid,debt_consolidation,11.89,0.0,730.0,734.0,0.0,0.0
10000.0, 60 months,9.17,B,3 years,RENT,59000.0,Charged Off,credit_card,9.64,0.0,720.0,724.0,0.0,0.0
9800.0, 36 months,11.99,C,10+ years,RENT,45000.0,Fully Paid,credit_card,15.57,2.0,670.0,674.0,3.0,0.0
13000.0, 36 months,7.89,A,10+ years,MORTGAGE,80000.0,Fully Paid,debt_consolidation,19.5,0.0,695.0,699.0,1.0,0.0
10000.0, 36 months,12.59,C,10+ years,RENT,35000.0,Fully Paid,debt_consolidation,28.74,0.0,685.0,689.0,1.0,1.0
21000.0, 36 months,10.64,B,< 1 year,RENT,80000.0,Fully Paid,debt_consolidation,14.43,1.0,680.0,684.0,0.0,0.0
10000.0, 60 months,14.48,C,10+ years,RENT,40000.0,Fully Paid,debt_consolidation,19.02,0.0,660.0,664.0,2.0,0.0
15000.0, 36 months,13.67,C,10+ years,RENT,42000.0,Charged Off,debt_consolidation,27.09,0.0,680.0,684.0,0.0,0.0
15000.0, 60 months,17.86,D,10+ years,MORTGAGE,70000.0,Charged Off,major_purchase,35.78,0.0,660.0,664.0,4.0,0.0
5600.0, 36 months,9.76,B,9 years,RENT,34000.0,Fully Paid,debt_consolidation,14.17,0.0,685.0,689.0,0.0,0.0
7200.0, 36 months,9.76,B,2 years,RENT,72500.0,Charged Off,debt_consolidation,8.24,0.0,685.0,689.0,0.0,2.0
16000.0, 36 months,5.32,A,2 years,RENT,121000.0,Fully Paid,car,19.38,0.0,715.0,719.0,1.0,0.0
4800.0, 36 months,13.18,C,7 years,OWN,79000.0,Fully Paid,debt_consolidation,15.77,1.0,690.0,694.0,3.0,0.0
3550.0, 36 months,13.18,C,1 year,RENT,40000.0,Fully Paid,debt_consolidation,18.18,2.0,670.0,674.0,0.0,1.0
6000.0, 36 months,12.05,C,10+ years,RENT,90000.0,Fully Paid,debt_consolidation,20.78,1.0,670.0,674.0,0.0,0.0
12000.0, 36 months,8.38,B,,RENT,60000.0,Fully Paid,credit_card,20.72,1.0,700.0,704.0,0.0,0.0
35000.0, 36 months,7.89,A,10+ years,MORTGAGE,150000.0,Fully Paid,debt_consolidation,28.66,3.0,680.0,684.0,0.0,0.0
22000.0, 36 months,8.38,B,2 years,RENT,121000.0,Fully Paid,debt_consolidation,15.13,0.0,705.0,709.0,0.0,0.0
12500.0, 36 months,12.59,C,5 years,MORTGAGE,54000.0,Fully Paid,debt_consolidation,17.16,0.0,675.0,679.0,1.0,0.0
4000.0, 36 months,18.2,E,< 1 year,RENT,10000.0,Fully Paid,credit_card,57.14,0.0,660.0,664.0,2.0,0.0
30000.0, 60 months,12.59,C,< 1 year,OWN,80000.0,Charged Off,debt_consolidation,10.26,0.0,735.0,739.0,2.0,0.0
21150.0, 36 months,13.67,C,10+ years,RENT,70000.0,Fully Paid,debt_consolidation,31.5,0.0,710.0,714.0,0.0,0.0
18000.0, 36 months,10.99,B,10+ years,OWN,50000.0,Fully Paid,debt_consolidation,27.77,0.0,705.0,709.0,0.0,0.0
11000.0, 36 months,11.22,B,8 years,RENT,57511.91,Fully Paid,debt_consolidation,4.3,0.0,690.0,694.0,1.0,0.0
25150.0, 60 months,18.99,E,10+ years,MORTGAGE,63000.0,Fully Paid,debt_consolidation,19.98,0.0,735.0,739.0,1.0,1.0
25000.0, 60 months,8.18,B,9 years,MORTGAGE,110000.0,Fully Paid,debt_consolidation,25.42,0.0,695.0,699.0,0.0,0.0
6700.0, 36 months,14.48,C,< 1 year,RENT,30000.0,Charged Off,debt_consolidation,12.44,0.0,660.0,664.0,1.0,1.0
10000.0, 36 months,8.38,B,3 years,MORTGAGE,155000.0,Fully Paid,debt_consolidation,8.26,0.0,675.0,679.0,0.0,0.0
10000.0, 36 months,9.17,B,5 years,RENT,50000.0,Charged Off,small_business,2.86,0.0,755.0,759.0,0.0,0.0
13000.0, 60 months,12.05,C,10+ years,MORTGAGE,50000.0,Fully Paid,debt_consolidation,13.39,1.0,690.0,694.0,0.0,0.0
13000.0, 36 months,8.38,B,1 year,OWN,50000.0,Fully Paid,credit_card,24.8,0.0,675.0,679.0,0.0,0.0
6000.0, 36 months,7.91,A,2 years,RENT,41000.0,Fully Paid,debt_consolidation,15.06,0.0,730.0,734.0,0.0,0.0
7375.0, 36 months,18.49,E,,OWN,21704.0,Charged Off,home_improvement,38.11,0.0,715.0,719.0,0.0,0.0
13500.0, 36 months,11.22,B,,MORTGAGE,96000.0,Fully Paid,credit_card,14.71,0.0,675.0,679.0,0.0,4.0
12000.0, 36 months,15.41,D,1 year,RENT,96000.0,Charged Off,other,5.71,0.0,665.0,669.0,0.0,0.0
10750.0, 36 months,9.17,B,10+ years,MORTGAGE,60000.0,Fully Paid,debt_consolidation,23.64,0.0,680.0,684.0,0.0,0.0
28000.0, 36 months,14.48,C,10+ years,RENT,80000.0,Charged Off,debt_consolidation,21.09,1.0,710.0,714.0,0.0,0.0
15000.0, 60 months,13.18,C,4 years,MORTGAGE,30000.0,Fully Paid,debt_consolidation,14.28,1.0,665.0,669.0,4.0,0.0
14000.0, 60 months,11.22,B,10+ years,OWN,63000.0,Fully Paid,home_improvement,22.63,2.0,730.0,734.0,0.0,0.0
8175.0, 36 months,24.99,F,4 years,OWN,97000.0,Charged Off,debt_consolidation,7.05,0.0,680.0,684.0,2.0,0.0
8000.0, 36 months,10.64,B,5 years,RENT,60000.0,Fully Paid,debt_consolidation,5.62,3.0,670.0,674.0,1.0,0.0
3775.0, 36 months,11.99,C,2 years,RENT,17795.0,Fully Paid,credit_card,34.01,0.0,675.0,679.0,0.0,0.0
12000.0, 36 months,17.86,D,2 years,RENT,24000.0,Fully Paid,small_business,16.25,0.0,690.0,694.0,0.0,0.0
28800.0, 60 months,9.76,B,6 years,MORTGAGE,210000.0,Fully Paid,debt_consolidation,27.45,0.0,710.0,714.0,1.0,0.0
20000.0, 36 months,6.89,A,5 years,RENT,105000.0,Fully Paid,debt_consolidation,27.63,0.0,685.0,689.0,0.0,0.0
2525.0, 36 months,19.99,E,2 years,RENT,51000.0,Fully Paid,other,12.66,0.0,665.0,669.0,0.0,0.0
32225.0, 36 months,19.99,E,7 years,RENT,120000.0,Fully Paid,house,5.38,1.0,680.0,684.0,3.0,1.0
18000.0, 36 months,6.24,A,1 year,RENT,120000.0,Fully Paid,credit_card,26.79,0.0,735.0,739.0,0.0,0.0
8000.0, 36 months,9.76,B,6 years,MORTGAGE,39000.0,Charged Off,debt_consolidation,21.72,1.0,665.0,669.0,0.0,2.0
21000.0, 36 months,7.26,A,10+ years,MORTGAGE,190000.0,Fully Paid,credit_card,13.96,0.0,700.0,704.0,2.0,0.0
3000.0, 36 months,9.17,B,,OWN,135299.0,Charged Off,other,10.35,0.0,680.0,684.0,0.0,0.0
7500.0, 36 months,5.32,A,< 1 year,MORTGAGE,100000.0,Fully Paid,credit_card,21.94,0.0,700.0,704.0,0.0,0.0
5500.0, 36 months,8.38,B,8 years,MORTGAGE,45000.0,Fully Paid,debt_consolidation,15.32,0.0,740.0,744.0,0.0,0.0
23000.0, 36 months,7.89,A,10+ years,RENT,50000.0,Fully Paid,debt_consolidation,24.32,0.0,680.0,684.0,0.0,0.0
10000.0, 36 months,13.67,C,3 years,RENT,57000.0,Fully Paid,credit_card,18.19,0.0,680.0,684.0,2.0,0.0
9600.0, 36 months,5.32,A,1 year,RENT,27000.0,Fully Paid,debt_consolidation,16.31,0.0,720.0,724.0,0.0,0.0
18000.0, 36 months,6.24,A,2 years,RENT,60000.0,Fully Paid,credit_card,14.02,0.0,725.0,729.0,0.0,0.0
11825.0, 60 months,16.99,D,10+ years,OWN,67000.0,Charged Off,debt_consolidation,24.97,0.0,670.0,674.0,1.0,4.0
6000.0, 36 months,13.67,C,10+ years,MORTGAGE,110000.0,Fully Paid,house,16.16,1.0,700.0,704.0,0.0,0.0
10950.0, 36 months,19.48,E,3 years,RENT,60000.0,Fully Paid,debt_consolidation,18.38,0.0,660.0,664.0,2.0,2.0
8500.0, 36 months,10.64,B,4 years,RENT,30000.0,Fully Paid,credit_card,9.28,0.0,690.0,694.0,0.0,0.0
3575.0, 36 months,7.26,A,10+ years,RENT,13000.0,Fully Paid,debt_consolidation,9.88,0.0,715.0,719.0,0.0,0.0
35000.0, 36 months,16.55,D,4 years,MORTGAGE,94000.0,Fully Paid,debt_consolidation,22.65,0.0,665.0,669.0,1.0,1.0
12000.0, 36 months,11.48,B,< 1 year,OWN,80000.0,Fully Paid,debt_consolidation,1.8,1.0,690.0,694.0,1.0,1.0
10000.0, 36 months,10.64,B,,MORTGAGE,75885.96,Charged Off,debt_consolidation,31.09,0.0,710.0,714.0,0.0,0.0
6000.0, 36 months,11.22,B,3 years,MORTGAGE,42000.0,Charged Off,debt_consolidation,14.23,0.0,680.0,684.0,0.0,0.0
17750.0, 36 months,13.99,C,1 year,MORTGAGE,76780.0,Fully Paid,credit_card,13.49,0.0,680.0,684.0,0.0,2.0
22800.0, 60 months,23.99,F,10+ years,RENT,60000.0,Fully Paid,debt_consolidation,13.14,0.0,695.0,699.0,1.0,0.0
